y1,y2,y3,y4,empirical,AR1_noME,AR1_ME,AR2_noME,AR2_ME
0,0,0,0,0.4225,0.3987,0.4165,0.4185,0.4185
0,0,0,1,0.02,0.0333,0.0246,0.0241,0.0241
0,0,1,0,0.0113,0.0029,0.0121,0.009,0.009
0,0,1,1,0.0148,0.0332,0.0143,0.0164,0.0164
0,1,0,0,0.0093,0.0029,0.0121,0.009,0.009
0,1,0,1,0.0038,2e-4,0.0014,0.0049,0.0049
0,1,1,0,0.0052,0.0029,0.0018,0.0014,0.0014
0,1,1,1,0.022,0.0331,0.0243,0.0239,0.0239
1,0,0,0,0.0206,0.0333,0.0246,0.0241,0.0241
1,0,0,1,0.0054,0.0028,0.0018,0.0014,0.0014
1,0,1,0,0.0033,2e-4,0.0014,0.0049,0.0049
1,0,1,1,0.0114,0.0028,0.0117,0.0089,0.0089
1,1,0,0,0.0142,0.0332,0.0143,0.0164,0.0164
1,1,0,1,0.0087,0.0028,0.0117,0.0089,0.0089
1,1,1,0,0.0196,0.0331,0.0243,0.0239,0.0239
1,1,1,1,0.4082,0.3845,0.4032,0.4045,0.4045
